image,model,commons_file,author,licence,licence_url,source
images/canon/canon-rf-1200mm-f8-l-is-usm.jpg,Canon RF 1200mm F8 L IS USM,Canon RF 1200mm.jpg,Bernatargentona,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,https://commons.wikimedia.org/wiki/File:Canon_RF_1200mm.jpg
images/canon/canon-rf-135mm-f1-8-l-is-usm.jpg,Canon RF 135mm F1.8 L IS USM,Canon RF 135mm f1.8L IS USM.jpg,Dinkun Chen,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Canon_RF_135mm_f1.8L_IS_USM.jpg
images/canon/canon-rf-14-35mm-f4-l-is-usm.jpg,Canon RF 14-35mm F4 L IS USM,Canon RF 14-35mm F4L IS USM (3-4 cropped).jpg,Henry Söderlund,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,https://commons.wikimedia.org/wiki/File:Canon_RF_14-35mm_F4L_IS_USM_(3-4_cropped).jpg
images/canon/canon-rf-15-30mm-f4-5-6-3-is-stm.jpg,Canon RF 15-30mm F4.5-6.3 IS STM,Canon RF 15-30mm F4.5-6.3 IS STM (3-4 cropped).jpg,Henry Söderlund,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,https://commons.wikimedia.org/wiki/File:Canon_RF_15-30mm_F4.5-6.3_IS_STM_(3-4_cropped).jpg
images/canon/canon-rf-15-35mm-f2-8-l-is-usm.jpg,Canon RF 15-35mm F2.8 L IS USM,Canon RF 15-35mm F2.8L IS USM.jpg,Christoffer Hjeltnes Støle,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Canon_RF_15-35mm_F2.8L_IS_USM.jpg
images/canon/canon-rf-16mm-f2-8-stm.jpg,Canon RF 16mm F2.8 STM,Canon RF 16mm F2.8 STM (1-1 cropped).jpg,Henry Söderlund,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,https://commons.wikimedia.org/wiki/File:Canon_RF_16mm_F2.8_STM_(1-1_cropped).jpg
images/canon/canon-rf-20-50mm-f4l-is-usm-pz.jpg,Canon RF 20-50mm F4L IS USM PZ,Canon EOS R6 V with RF 20-50mm F4L IS USM PZ 20260516100633.jpg,TurnOnTheNight,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Canon_EOS_R6_V_with_RF_20-50mm_F4L_IS_USM_PZ_20260516100633.jpg
images/canon/canon-rf-24-105mm-f2-8-l-is-usm-z.jpg,Canon RF 24-105mm F2.8 L IS USM Z,Canon EOS R1+RF 24-105mm F2.8L IS USM Z.jpg,Dinkun Chen,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Canon_EOS_R1%2BRF_24-105mm_F2.8L_IS_USM_Z.jpg
images/canon/canon-rf-24-105mm-f4-7-1-is-stm.jpg,Canon RF 24-105mm F4-7.1 IS STM,Canon RF 24-105mm f4-7.1 IS STM.jpg,Bernatargentona,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Canon_RF_24-105mm_f4-7.1_IS_STM.jpg
images/canon/canon-rf-24-105mm-f4-l-is-usm.jpg,Canon RF 24-105mm F4 L IS USM,Canon RF24-105mm F4 L IS USM 07 sep 2018.jpg,昼落ち,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Canon_RF24-105mm_F4_L_IS_USM_07_sep_2018.jpg
images/canon/canon-rf-24-240mm-f4-6-3-is-usm.jpg,Canon RF 24-240mm F4-6.3 IS USM,Canon RF 24-240.jpg,Putsari,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Canon_RF_24-240.jpg
images/canon/canon-rf-24-50mm-f4-5-6-3-is-stm.jpg,Canon RF 24-50mm F4.5-6.3 IS STM,Canon RF 24-50mm F4.5-6.3 IS STM (52853984559) (1-1 cropped).jpg,"Henry Söderlund from Helsinki, Finland",CC BY 2.0,https://creativecommons.org/licenses/by/2.0,https://commons.wikimedia.org/wiki/File:Canon_RF_24-50mm_F4.5-6.3_IS_STM_(52853984559)_(1-1_cropped).jpg
images/canon/canon-rf-24-70mm-f2-8-l-is-usm.jpg,Canon RF 24-70mm F2.8 L IS USM,HK MKE 旺角東 Mong Kok East 新世紀廣場 MOKO Grand Century Place One office 佳能 Canon Camera products 體驗館 Showroom December 2021 SS2 09.jpg,GAULUAEN Yamwzld00,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:HK_MKE_%E6%97%BA%E8%A7%92%E6%9D%B1_Mong_Kok_East_%E6%96%B0%E4%B8%96%E7%B4%80%E5%BB%A3%E5%A0%B4_MOKO_Grand_Century_Place_One_office_%E4%BD%B3%E8%83%BD_Canon_Camera_products_%E9%AB%94%E9%A9%97%E9%A4%A8_Showroom_December_2021_SS2_09.jpg
images/canon/canon-rf-24mm-f1-4-l-vcm.jpg,Canon RF 24mm F1.4 L VCM,Canon RF 24mm F1.4L VCM.jpg,Dinkun Chen,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Canon_RF_24mm_F1.4L_VCM.jpg
images/canon/canon-rf-24mm-f1-8-macro-is-stm.jpg,Canon RF 24mm F1.8 MACRO IS STM,Canon RF 24mm F1.8 MACRO IS STM (4-5 cropped).jpg,Henry Söderlund,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,https://commons.wikimedia.org/wiki/File:Canon_RF_24mm_F1.8_MACRO_IS_STM_(4-5_cropped).jpg
images/canon/canon-rf-28-70mm-f2-0-l-usm.jpg,Canon RF 28-70mm F2.0 L USM,Canon RF28-70mm F2 L USM 07 sep 2018.jpg,昼落ち,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Canon_RF28-70mm_F2_L_USM_07_sep_2018.jpg
