slug,name,brand,mount,film_format,focal_length_mm,max_aperture,introduced,filter_mm,weight_g,image,wikidata,commons_file,wikipedia,source
nikon-af-s-nikkor-500mm-f-4d-ed-if-ii,Nikon AF-S Nikkor 500mm f/4D ED-IF II,Nikon,,35mm,500,4,,,,,Q116719389,,,wikidata
nikon-af-s-nikkor-500mm-f-4g-ed-vr,Nikon AF-S Nikkor 500mm f/4G ED VR,Nikon,,35mm,500,4,,,,,Q116719390,,,wikidata
nikon-af-s-nikkor-500mm-f4e-fl-ed-vr,Nikon AF-S Nikkor 500mm F4E FL ED VR,Nikon,,35mm,500,4,,,,,Q116719391,,,wikidata
nikon-af-s-nikkor-500mm-f5-6e-pf-ed-vr,Nikon AF-S Nikkor 500mm F5.6E PF ED VR,Nikon,,35mm,500,5.6,,,,,Q116719392,,,wikidata
nikon-af-s-nikkor-50mm-f-1-4g,Nikon AF-S Nikkor 50mm f/1.4G,Nikon,,35mm,50,1.4,,,,images/nikon/nikon-af-s-nikkor-50mm-f-1-4g.jpg,Q63565033,11-09-04-nikon-d300s-by-RalfR-DSC 5402.jpg,,wikidata
nikon-af-s-nikkor-50mm-f-1-8g,Nikon AF-S Nikkor 50mm f/1.8G,Nikon,,35mm,50,1.8,,,,images/nikon/nikon-af-s-nikkor-50mm-f-1-8g.jpg,Q63633673,AF-S Nikkor 50mm f1.8 G lateral.JPG,https://en.wikipedia.org/wiki/Nikon_AF-S_Nikkor_50mm_f/1.8G,wikidata
nikon-af-s-nikkor-58mm-f-1-4g,Nikon AF-S Nikkor 58mm f/1.4G,Nikon,,35mm,,1.4,,,,,Q116719393,,,wikidata
nikon-af-s-nikkor-600mm-f-4d-ed-if-ii,Nikon AF-S Nikkor 600mm f/4D ED-IF II,Nikon,,35mm,600,4,,,,,Q116719394,,,wikidata
nikon-af-s-nikkor-600mm-f-4g-ed-vr,Nikon AF-S Nikkor 600mm f/4G ED VR,Nikon,,35mm,600,4,,,,,Q116719395,,,wikidata
nikon-af-s-nikkor-600mm-f4e-fl-ed-vr,Nikon AF-S Nikkor 600mm F4E FL ED VR,Nikon,,35mm,600,4,,,,,Q116719396,,,wikidata
nikon-af-s-nikkor-70-200mm-f-2-8g-ed-vr-ii,Nikon AF-S Nikkor 70-200mm f/2.8G ED VR II,Nikon,,35mm,70-200,2.8,,,,images/nikon/nikon-af-s-nikkor-70-200mm-f-2-8g-ed-vr-ii.jpg,Q63639623,Nikon AF-S Zoom-Nikkor 70-200-2.8G ED VR II 140216 1.jpg,,wikidata
nikon-af-s-nikkor-70-200mm-f-4g-ed-vr,Nikon AF-S Nikkor 70-200mm f/4G ED VR,Nikon,,35mm,70-200,4,,,,,Q63639504,,,wikidata
nikon-af-s-nikkor-70-200mm-f2-8e-fl-ed-vr,Nikon AF-S Nikkor 70-200mm F2.8E FL ED VR,Nikon,,35mm,70-200,2.8,,,,,Q116719397,,,wikidata
nikon-af-s-nikkor-70-300mm-f-4-5-5-6g-if-ed-vr,Nikon AF-S Nikkor 70-300mm f/4.5-5.6G IF-ED VR,Nikon,,35mm,70-300,4.5,,,,images/nikon/nikon-af-s-nikkor-70-300mm-f-4-5-5-6g-if-ed-vr.jpg,Q63640288,Nikkor Objektiv.jpg,,wikidata
nikon-af-s-nikkor-70-300mm-f-4-5-5-6g-vr,Nikon AF-S Nikkor 70-300mm f/4.5-5.6G VR,Nikon,,35mm,70-300,4.5,,,,,Q116719398,,,wikidata
nikon-af-s-nikkor-80-200mm-f-2-8d-ed,Nikon AF-S Nikkor 80-200mm f/2.8D ED,Nikon,,35mm,80-200,2.8,,,,images/nikon/nikon-af-s-nikkor-80-200mm-f-2-8d-ed.jpg,Q63565057,Nikon AF Zoom-Nikkor 80-200mm f2.8D ED lens.jpg,,wikidata
nikon-af-s-nikkor-80-400mm-f-4-5-5-6g-ed-vr,Nikon AF-S Nikkor 80-400mm f/4.5-5.6G ED VR,Nikon,,35mm,80-400,4.5,,,,images/nikon/nikon-af-s-nikkor-80-400mm-f-4-5-5-6g-ed-vr.jpg,Q63565045,Nikon D800 with Nikon AF-S Nikkor 80–400 mm F4.5–5.6G ED VR lens.jpg,,wikidata
nikon-af-s-nikkor-800mm-f-5-6e-fl-ed-vr,Nikon AF-S Nikkor 800mm f/5.6E FL ED VR,Nikon,,35mm,800,5.6,,,,,Q116719399,,,wikidata
nikon-af-s-nikkor-85mm-f-1-8g,Nikon AF-S Nikkor 85mm f/1.8G,Nikon,,35mm,85,1.8,,,,images/nikon/nikon-af-s-nikkor-85mm-f-1-8g.jpg,Q63640688,Nikon 85mm f1.8G lens.jpg,,wikidata
nikon-af-s-nikkor-85mm-f1-4g,Nikon AF-S Nikkor 85mm F1.4G,Nikon,,35mm,,1.4,,,,,Q116719400,,,wikidata
nikon-af-s-nikkor-fisheye-8-15mm-f3-5-4-5e-ed,Nikon AF-S Nikkor Fisheye 8-15mm F3.5-4.5E ED,Nikon,,35mm,8,,,,,,Q116719401,,,wikidata
nikon-af-s-vr-105mm-f-2-8g-if-ed,Nikon AF-S VR 105mm f/2.8G IF-ED,Nikon,,35mm,105,2.8,,,,images/nikon/nikon-af-s-vr-105mm-f-2-8g-if-ed.jpg,Q14055616,Micro-Nikkor AFS VR 105 mm f2.8 IF-ED.jpg,https://en.wikipedia.org/wiki/Nikon_AF-S_VR_105mm_f/2.8G_IF-ED,wikidata
nikon-af-s-vr-micro-nikkor-105mm-f-2-8g-if-ed,Nikon AF-S VR Micro-Nikkor 105mm f/2.8G IF-ED,Nikon,,35mm,105,2.8,,,,images/nikon/nikon-af-s-vr-micro-nikkor-105mm-f-2-8g-if-ed.jpg,Q63633719,Micro-Nikkor AFS VR 105 mm f2.8 IF-ED.jpg,,wikidata
nikon-af-s-zoom-nikkor-17-35mm-f-2-8d-ed-if,Nikon AF-S Zoom-Nikkor 17-35mm f/2.8D ED-IF,Nikon,,35mm,17-35,2.8,,,,,Q7036467,,https://en.wikipedia.org/wiki/Nikon_AF-S_Zoom-Nikkor_17-35mm_f/2.8D_ED-IF,wikidata
nikon-f-70-210mm-lens,Nikon F 70-210mm lens,Nikon,,35mm,70-210,,,,,,Q7036531,,https://en.wikipedia.org/wiki/Nikon_F_70-210mm_lens,wikidata
nikon-f-70-300mm-lens,Nikon F 70-300mm lens,Nikon,,35mm,70-300,,,,,,Q7036533,,https://en.wikipedia.org/wiki/Nikon_F_70-300mm_lens,wikidata
nikon-f-80-200mm-lens,Nikon F 80-200mm lens,Nikon,,35mm,80-200,,,,,,Q7036536,,https://en.wikipedia.org/wiki/Nikon_F_80-200mm_lens,wikidata
nikon-nikkor-28-45-mm-f-4-5,Nikon Nikkor 28-45 mm f/ 4.5,Nikon,,35mm,28-45,4.5,,,,,Q25038137,,https://en.wikipedia.org/wiki/Nikon_Nikkor_28-45mm_f/4.5,wikidata
nikon-nikkor-400mm-f4-5-vr-s,Nikon Nikkor 400mm F4.5 VR S,Nikon,,35mm,400,4.5,,,,,Q116719402,,,wikidata
nikon-pc-e-micro-nikkor-85mm-f-2-8d,Nikon PC-E Micro-Nikkor 85mm f/2.8D,Nikon,,35mm,,2.8,,,,,Q116719433,,,wikidata
nikon-pc-e-nikkor-19mm-f-4e-ed,Nikon PC-E Nikkor 19mm f/4E ED,Nikon,,35mm,19,4,,,,images/nikon/nikon-pc-e-nikkor-19mm-f-4e-ed.jpg,Q63533260,Nikon PC-E 19mm F4.jpg,,wikidata
nikon-pc-e-nikkor-24mm-f-3-5d-ed,Nikon PC-E Nikkor 24mm f/3.5D ED,Nikon,,35mm,24,3.5,,,,images/nikon/nikon-pc-e-nikkor-24mm-f-3-5d-ed.jpg,Q7118467,Nikkor 24 PC.jpg,https://en.wikipedia.org/wiki/Nikon_PC-E_Nikkor_24mm_f/3.5D_ED,wikidata
nikon-pc-e-nikkor-45mm-f-2-8d-ed,Nikon PC-E Nikkor 45mm f/2.8D ED,Nikon,,35mm,,2.8,,,,,Q116719434,,,wikidata
nikon-pc-nikkor-28mm-f-3-5,Nikon PC-Nikkor 28mm f/3.5,Nikon,,35mm,28,3.5,,,,,Q137009699,,,wikidata
reflex-nikkor-500mm-f8,Reflex-Nikkor 500mm f8,Nikon,,35mm,500,8,,,,images/nikon/reflex-nikkor-500mm-f8.jpg,Q66313370,Nikkor Reflex 500mm 9079.jpg,,wikidata
