slug,name,mount,focal_length_mm,max_aperture,introduced,filter_mm,weight_g,image,wikidata,commons_file,wikipedia,source
canon-ef-70-300mm-lens,Canon EF 70–300mm lens,,70-300,,,,,images/canon/canon-ef-70-300mm-lens.jpg,Q3880576,Canon 70-300 DO MG 2020.jpg,https://en.wikipedia.org/wiki/Canon_EF_70-300mm_lens,wikidata
canon-ef-75-300mm-f4-5-6-iii,Canon EF 75-300mm F4-5.6 III,,75-300,,,,,images/canon/canon-ef-75-300mm-f4-5-6-iii.jpg,Q68865711,Canon EF 75-300 f-4-5.6 III.jpg,,wikidata
canon-ef-75-300mm-lens,Canon EF 75–300mm lens,,75-300,,,,,images/canon/canon-ef-75-300mm-lens.jpg,Q5033220,Teleobjetivo Canon EF 75-300mm f 4-5.6 III.jpg,https://en.wikipedia.org/wiki/Canon_EF_75%E2%80%93300mm_lens,wikidata
canon-ef-800mm-f-5-6l-is-usm,Canon EF 800mm f/5.6L IS USM,Canon EF lens mount,800,5.6,2008,,,images/canon/canon-ef-800mm-f-5-6l-is-usm.jpg,Q5033222,Canon EF 800.jpg,https://en.wikipedia.org/wiki/Canon_EF_800mm_lens,wikidata
canon-ef-80-200mm-lens,Canon EF 80–200mm lens,,80-200,,1992,,,images/canon/canon-ef-80-200mm-lens.jpg,Q5033218,Canon80-200mm.jpg,https://en.wikipedia.org/wiki/Canon_EF_80-200mm_lens,wikidata
canon-ef-85mm-f1-2l-ii-usm,Canon EF 85mm F1.2L II USM,Canon EF lens mount,85,,2006,,,images/canon/canon-ef-85mm-f1-2l-ii-usm.jpg,Q68867227,Canon EF 85mm f1.2L II USM Hooded.jpg,,wikidata
canon-ef-85mm-lens,Canon EF 85mm lens,,85,,,,,images/canon/canon-ef-85mm-lens.jpg,Q1185355,Canon - Objektiv EF 85mm f1.4L IS USM.JPG,https://en.wikipedia.org/wiki/Canon_EF_85mm_lens,wikidata
canon-ef-8-15mm-lens,Canon EF 8–15mm lens,Canon EF lens mount,8-15,4,2011,,,images/canon/canon-ef-8-15mm-lens.jpg,Q4035819,Canon EF 8-15mmm F4L Fisheye USM cutaway 2012 CP+.jpg,https://en.wikipedia.org/wiki/Canon_EF_8-15mm_lens,wikidata
canon-ef-90-300mm-lens,Canon EF 90–300mm lens,,90-300,,,,,images/canon/canon-ef-90-300mm-lens.jpg,Q5033221,Canon EF 90-300mm.JPG,https://en.wikipedia.org/wiki/Canon_EF_90%E2%80%93300mm_lens,wikidata
canon-ef-portrait-lenses,Canon EF portrait lenses,,,,,,,,Q5033223,,https://en.wikipedia.org/wiki/Canon_EF_portrait_lenses,wikidata
